overdose_deaths,year,fipscounty
1,2015,47079
4,2016,47079
2,2017,47079
7,2018,47079
0,2015,47075
1,2016,47075
0,2017,47075
1,2018,47075
1,2015,47069
1,2016,47069
4,2017,47069
2,2018,47069
1,2015,47061
2,2016,47061
1,2017,47061
2,2018,47061
1,2015,47045
0,2016,47045
1,2017,47045
0,2018,47045
1,2015,47033
0,2016,47033
0,2017,47033
2,2018,47033
1,2015,47017
1,2016,47017
2,2017,47017
0,2018,47017
1,2015,47007
2,2016,47007
2,2017,47007
3,2018,47007
